Weather,Security,ATC Congestion,Airport Quality,Airspace Complexity,target
35.90519084803855,20.97165571173035,50.532147033250936,87.93113768863716,0.18563209875642883,40.12989356617523
22.416970953233815,4.87141915261429,21.91961234423649,54.16042857570751,17.171697352154595,18.025588564866982
20.734253765564304,3.7079086565733705,73.57552909743885,76.23250829969305,0.0,32.64440091365613
20.73453441497701,21.035535720923168,16.46858748314928,45.11144784297025,36.86508275679232,24.374009651242037
69.74571618345976,16.26650933616226,32.059875094618775,12.530363822660826,46.898037626507005,33.0842335390271
43.000593464463336,30.409343822320835,40.60933142933054,36.01449363971791,94.38787057795204,41.0539554245982
16.966170026113485,5.367532101391687,52.45346651791537,44.750375325377014,39.98401437914298,29.17714886823299
37.0472171014682,25.1722121739851,65.28712916310057,50.48666260156936,29.661994856206025,38.43977361604248
29.984403960969704,27.05954909036411,45.73254821623919,30.78116291272684,29.902318615167676,32.52988367599758
3.238724152358781,11.660260144899388,35.37218279045486,45.071096161915094,36.14319145752322,24.722531531319802
10.068634240315594,3.8030355366972204,32.626507698985684,41.25806240585035,36.04575017755897,24.39995365194734
31.592484560222452,36.88265468265718,34.59224236834892,22.089020877147895,52.919114964908005,38.431778501624194
65.47765301225293,8.721837033035671,55.91100130145654,67.41735132631567,56.95357890991744,43.120927891041646
20.877782774387192,9.18359600715712,31.83215270662764,36.519239623294396,63.89165861967776,28.829665211620952
15.870411585814555,3.66542470290588,65.41630663050255,35.14504567765406,33.91072415210969,32.78285062688222
27.210113122082486,12.26131666854325,17.386935618454714,16.111808430928782,63.88847340075111,25.441486314362383
15.079267210771464,12.204391581719959,15.065578619600494,83.89141673981375,69.43199052595763,33.38315129750005
19.766120717087826,8.227357979966877,33.60775992136917,63.44576948544006,30.240093302304047,28.17223628865627
24.73953718410397,19.11497435430328,18.929190692788058,69.39586557178816,85.70423120669183,37.54229081104374
9.602059572658254,9.873785402569423,52.41257414521542,66.06186890789238,40.01389050469229,33.69709829073764
44.55090141319709,18.937644011838646,49.62826458325784,22.73299013806116,34.45498166992165,32.63545451434299
8.027721694185601,40.6478218256662,46.83168595218511,20.335145853661007,72.92703883572528,38.90760184596575
7.091901657520101,3.261367569107635,21.00102307413022,85.64187935839406,53.17071640610408,24.957575558112513
29.009256268322023,15.3848581450311,14.170391978476257,11.256128892354322,63.44854175647069,20.58581519190339
42.20030711968576,7.609187764673251,48.1121513389908,80.74090527272216,44.90064198370161,38.74470768528826
28.467533615356057,21.60068333721523,45.66039894433331,83.41416844224939,65.1984025905936,41.27091136342277
22.826687656269012,5.053433870358464,56.70975573838715,54.30231566803717,53.37154222835871,29.98137624834325
19.610721524752115,34.10005585791604,36.65275274264935,39.85328502298198,16.759246285323922,33.223986381366196
17.098647460299755,5.523921998220233,41.68373893781685,57.51209661485909,29.128752336832168,27.707632075304975
51.56698950779174,9.657535101097327,61.247480294109565,53.44235863203444,23.325844770717843,37.1368557746826
